reaction,lb,ub
DAPtex_f,0,1000
DAPtex_r,0,1000
TRPt2rpp_f,0,1000
TRPt2rpp_r,0,1000
TYRt2rpp_f,0,1000
TYRt2rpp_r,0,1000
EX_tma__e,0,1000
URIt2pp_copy1,0,1000
URIt2pp_copy2_f,0,1000
URIt2pp_copy2_r,0,1000
VALabcpp,0,1000
12PPDStex_f,0,1000
12PPDStex_r,0,1000
DDGLCNtex_f,0,1000
DDGLCNtex_r,0,1000
XTSNt2rpp_f,0,1000
XTSNt2rpp_r,0,1000
XYLabcpp,0,1000
GMHEPK,0,1000
XYLUt2pp,0,1000
THRt4pp,0,1000
GALURtex_f,0,1000
GALURtex_r,0,1000
GTPCI,0,1000
FDMO,0,1000
FEOXAMabcpp,0,1000
EX_fruur__e,0,1000
GALtex_f,0,1000
GALtex_r,0,1000
CBL1abcpp,0,1000
EX_malttr__e,0,1000
ACACt2pp_f,0,1000
ACACt2pp_r,0,1000
ACGAptspp,0,1000
ACMANAptspp,0,1000
ACNAMt2pp,0,1000
GALCTtex_f,0,1000
GALCTtex_r,0,1000
GALCTNtex_f,0,1000
GALCTNtex_r,0,1000
GALTtex_f,0,1000
GALTtex_r,0,1000
EX_cbi__e,0,1000
CHOLD,0,1000
TRE6PS,0,1000
DRPA,0,1000
TKT2_f,0,1000
TKT2_r,0,1000
EX_arbtn__fe3__e,0,1000
UDCPDP,0,1000
EX_cpgn__e,0,1000
EX_ch4__e,0,1000
FEENTERabcpp,0,1000
EX_adocbl__e,0,1000
FECRMabcpp,0,1000
TREH,0,1000
GAMtex_f,0,1000
GAMtex_r,0,1000
GBBTNtex_f,0,1000
GBBTNtex_r,0,1000
ATPS4rpp_f,0,1000
ATPS4rpp_r,0,1000
INDOLEtex_f,0,1000
INDOLEtex_r,0,1000
ARBt2rpp_f,0,1000
ARBt2rpp_r,0,1000
CYTK1_f,0,1000
CYTK1_r,0,1000
DAPabcpp,0,1000
L_LACtex_f,0,1000
L_LACtex_r,0,1000
ACt4pp,0,1000
ADEt2rpp_f,0,1000
ADEt2rpp_r,0,1000
CO2tpp_f,0,1000
CO2tpp_r,0,1000
DHAtpp_f,0,1000
DHAtpp_r,0,1000
DMSOR1pp,0,1000
ARGabcpp,0,1000
ADNt2pp_copy1,0,1000
ADNt2pp_copy2_f,0,1000
ADNt2pp_copy2_r,0,1000
ALAabcpp,0,1000
ALLabcpp,0,1000
ALLTNt2rpp_f,0,1000
ALLTNt2rpp_r,0,1000
ARBabcpp,0,1000
ARGAGMt7pp_f,0,1000
ARGAGMt7pp_r,0,1000
ASCBptspp,0,1000
CYTK2_f,0,1000
CYTK2_r,0,1000
ASNt2rpp_f,0,1000
ASNt2rpp_r,0,1000
ASPabcpp,0,1000
ASPt2pp,0,1000
ECOAH8_f,0,1000
ECOAH8_r,0,1000
GLCDpp,0,1000
GUAtpp_f,0,1000
GUAtpp_r,0,1000
ASPt2_2pp,0,1000
HYD2pp,0,1000
GK1_f,0,1000
GK1_r,0,1000
HYXNtpp_f,0,1000
HYXNtpp_r,0,1000
NACtpp,0,1000
ASPt2_3pp,0,1000
HIStex_f,0,1000
HIStex_r,0,1000
FE3DCITabcpp,0,1000
HXAtex_f,0,1000
HXAtex_r,0,1000
HACD1_f,0,1000
HACD1_r,0,1000
HYXNtex_f,0,1000
HYXNtex_r,0,1000
IDONtex_f,0,1000
IDONtex_r,0,1000
ILEtex_f,0,1000
ILEtex_r,0,1000
INSTtex_f,0,1000
INSTtex_r,0,1000
INStex_f,0,1000
INStex_r,0,1000
Ktex_f,0,1000
Ktex_r,0,1000
CPGNtonex,0,1000
GLCRtex_f,0,1000
GLCRtex_r,0,1000
GLCNtex_f,0,1000
GLCNtex_r,0,1000
GLCURtex_f,0,1000
GLCURtex_r,0,1000
GLNtex_f,0,1000
GLNtex_r,0,1000
O2tex_f,0,1000
O2tex_r,0,1000
EX_ppa__e,0,1000
HACD2_f,0,1000
HACD2_r,0,1000
OCTAtex_f,0,1000
OCTAtex_r,0,1000
D_LACtex_f,0,1000
D_LACtex_r,0,1000
NTD8pp,0,1000
ORNtex_f,0,1000
ORNtex_r,0,1000
FRULYStex_f,0,1000
FRULYStex_r,0,1000
MALTtexi,0,1000
ECOAH5_f,0,1000
ECOAH5_r,0,1000
DHFS,0,1000
CITt7pp,0,1000
CRNt7pp,0,1000
EX_ni2__e_f,0,1000
EX_ni2__e_r,0,1000
GLCtex_copy1,0,1000
EX_no__e,0,1000
CHLabcpp,0,1000
DGSNt2pp,0,1000
FE3DCITtonex,0,1000
DINSt2pp,0,1000
DURIt2pp,0,1000
FE2abcpp,0,1000
FRUptspp,0,1000
FUCtpp_f,0,1000
FUCtpp_r,0,1000
EX_fad__e,0,1000
GALCTt2rpp_f,0,1000
