reaction,FBAmodel,background_conc,system_volume
EX_slnt__e_r,iML1515,1000,1
EX_LalaDglu__e_f,iML1515,1000,1
EX_5mtr__e_f,iML1515,1000,1
EX_LalaLglu__e_f,iML1515,1000,1
EX_ttrcyc__e_f,iML1515,1000,1
EX_mincyc__e_f,iML1515,1000,1
DM_4crsol__c_f,iML1515,1000,1
EX_arbt__e_f,iML1515,1000,1
EX_dxylnt__e_f,iML1515,1000,1
EX_mththf__e_f,iML1515,1000,1
EX_doxrbcn__e_f,iML1515,1000,1
EX_dhps__e_f,iML1515,1000,1
EX_cs1__e_f,iML1515,1000,1
EX_fusa__e_f,iML1515,1000,1
EX_mepn__e_f,iML1515,1000,1
EX_cm__e_f,iML1515,1000,1
EX_novbcn__e_f,iML1515,1000,1
EX_2dglc__e_f,iML1515,1000,1
EX_sq__e_f,iML1515,1000,1
EX_4abzglu__e_f,iML1515,1000,1
EX_rfamp__e_f,iML1515,1000,1
EX_metglcur__e_f,iML1515,1000,1
EX_quin__e_f,iML1515,1000,1
EX_3hpp__e_f,iML1515,1000,1
DM_mththf__c_f,iML1515,1000,1
