"abbreviation","type","subtype","lowbnd","uppbnd"
"EX_mg2_e","boundary","exchange",-1000,1000
"EX_mn2_e","boundary","exchange",-1000,1000
"EX_mnl_e","boundary","exchange",-1000,1000
"EX_mobd_e","boundary","exchange",-1000,1000
"EX_mops_e","boundary","exchange",-1000,1000
"EX_mqn8_e","boundary","exchange",-1000,1000
"EX_mso3_e","boundary","exchange",-1000,1000
"EX_n2_e","boundary","exchange",-1000,1000
"EX_na1_e","boundary","exchange",-1000,1000
"EX_nac_e","boundary","exchange",-1000,1000
"EX_nchlphncl_e","boundary","exchange",-1000,1000
"EX_nh4_e","boundary","exchange",-1000,1000
"EX_no2_e","boundary","exchange",-1000,1000
"EX_no3_e","boundary","exchange",-1000,1000
"EX_nzp_e","boundary","exchange",-1000,1000
"EX_o2_e","boundary","exchange",-1000,1000
"EX_ocdca_e","boundary","exchange",-1000,1000
"EX_orot_e","boundary","exchange",-1000,1000
"EX_pb_e","boundary","exchange",-1000,1000
"EX_pcresol_e","boundary","exchange",-1000,1000
"EX_pect_e","boundary","exchange",-1000,1000
"EX_phe_L_e","boundary","exchange",-1000,1000
"EX_pi_e","boundary","exchange",-1000,1000
"EX_pime_e","boundary","exchange",-1000,1000
"EX_pnto_R_e","boundary","exchange",-1000,1000
"EX_ppal_e","boundary","exchange",-1000,1000
"EX_ppi_e","boundary","exchange",-1000,1000
"EX_pro_L_e","boundary","exchange",-1000,1000
"EX_ptrc_e","boundary","exchange",-1000,1000
"EX_pydxn_e","boundary","exchange",-1000,1000
"EX_pyr_e","boundary","exchange",-1000,1000
"EX_r406_e","boundary","exchange",-1000,1000
"EX_r788_e","boundary","exchange",-1000,1000
"EX_raffin_e","boundary","exchange",-1000,1000
"EX_rib_D_e","boundary","exchange",-1000,1000
"EX_ribflv_e","boundary","exchange",-1000,1000
"EX_salcn_e","boundary","exchange",-1000,1000
"EX_sbt_D_e","boundary","exchange",-1000,1000
"EX_sheme_e","boundary","exchange",-1000,1000
"EX_so4_e","boundary","exchange",-1000,1000
"EX_spmd_e","boundary","exchange",-1000,1000
"EX_strch1_e","boundary","exchange",-1000,1000
"EX_strch2_e","boundary","exchange",-1000,1000
"EX_stys_e","boundary","exchange",-1000,1000
"EX_succ_e","boundary","exchange",-1000,1000
"EX_sucr_e","boundary","exchange",-1000,1000
"EX_sulfac_e","boundary","exchange",-1000,1000
"EX_taur_e","boundary","exchange",-1000,1000
"EX_thm_e","boundary","exchange",-1000,1000
"EX_thymd_e","boundary","exchange",-1000,1000
"EX_tre_e","boundary","exchange",-1000,1000
"EX_trp_L_e","boundary","exchange",-1000,1000
"EX_tsul_e","boundary","exchange",-1000,1000
"EX_ura_e","boundary","exchange",-1000,1000
"EX_urea_e","boundary","exchange",-1000,1000
"EX_uri_e","boundary","exchange",-1000,1000
