"abbreviation","type","subtype","lowbnd","uppbnd"
"CDAPPA180","core","internal",0,1000
"CDAPPA181","core","internal",0,1000
"CDCA7aHSDHe","core","internal",-1000,1000
"CDOSKT","core","internal",-1000,1000
"CDPMEK","core","internal",0,1000
"CGLYabc","core","internal",0,1000
"CHLt2r","core","internal",-1000,1000
"CHOLD","core","internal",0,1000
"CHOLSH","core","internal",0,1000
"CHORM","core","internal",0,1000
"CHORS","core","internal",0,1000
"CHRPL","core","internal",0,1000
"CINNDO","core","internal",0,1000
"CINNMt2r","core","internal",-1000,1000
"CITL","core","internal",0,1000
"CITt7","core","internal",-1000,1000
"CLPNS140","core","internal",-1000,1000
"CLPNS160","core","internal",-1000,1000
"CLPNS180","core","internal",-1000,1000
"CLPNSAI15","core","internal",-1000,1000
"CLPNSAI17","core","internal",-1000,1000
"CLPNSI14","core","internal",-1000,1000
"CLPNSI15","core","internal",-1000,1000
"CLPNSI16","core","internal",-1000,1000
"CLPNSI17","core","internal",-1000,1000
"CO2t","core","internal",-1000,1000
"COBALTt5","core","internal",-1000,1000
"CPPPGO","core","internal",0,1000
"CPPPGO2","core","internal",0,1000
"CRNBTCT","core","internal",-1000,1000
"CRNCBCT","core","internal",-1000,1000
"CRNCDH","core","internal",-1000,1000
"CRNabc","core","internal",0,1000
"CRNt7","core","internal",-1000,1000
"CSND","core","internal",0,1000
"CSNt2","core","internal",0,1000
"CTBTt","core","internal",0,1000
"CTPS1","core","internal",0,1000
"CTPS2","core","internal",0,1000
"CYNTt2","core","internal",0,1000
"CYOmq","core","internal",0,1000
"CYRDAAT","core","internal",0,1000
"CYSDS","core","internal",0,1000
"CYSS","core","internal",0,1000
"CYSS3r","core","internal",-1000,1000
"CYSTL","core","internal",0,1000
"CYSt2r","core","internal",-1000,1000
"CYTBD","core","internal",0,1000
"CYTBD2","core","internal",0,1000
"CYTD","core","internal",0,1000
"CYTDK1","core","internal",0,1000
"CYTDK2","core","internal",0,1000
"CYTDK3","core","internal",0,1000
"CYTDK4","core","internal",0,1000
"CYTDt2","core","internal",0,1000
"CYTDt4","core","internal",0,1000
"CYTK1","core","internal",-1000,1000
