reaction,lb,ub
ENAGALNACASE_OGLYCAN162e,0,1000
ENAGALNACASE_OGLYCAN163e,0,1000
ENAGALNACASE_OGLYCAN164e,0,1000
ENAGALNACASE_OGLYCAN165e,0,1000
ENAGALNACASE_OGLYCAN166e,0,1000
ENAGALNACASE_OGLYCAN167e,0,1000
ENAGALNACASE_OGLYCAN168e,0,1000
ENAGALNACASE_OGLYCAN169e,0,1000
ENAGALNACASE_OGLYCAN16e,0,1000
ENAGALNACASE_OGLYCAN170e,0,1000
ENAGALNACASE_OGLYCAN171e,0,1000
ENAGALNACASE_OGLYCAN172e,0,1000
ENAGALNACASE_OGLYCAN173e,0,1000
ENAGALNACASE_OGLYCAN174e,0,1000
ENAGALNACASE_OGLYCAN175e,0,1000
ENAGALNACASE_OGLYCAN176e,0,1000
ENAGALNACASE_OGLYCAN177e,0,1000
ENAGALNACASE_OGLYCAN178e,0,1000
ENAGALNACASE_OGLYCAN179e,0,1000
ENAGALNACASE_OGLYCAN17e,0,1000
ENAGALNACASE_OGLYCAN180e,0,1000
ENAGALNACASE_OGLYCAN181e,0,1000
ENAGALNACASE_OGLYCAN182e,0,1000
ENAGALNACASE_OGLYCAN183e,0,1000
