reaction,lb,ub
BGALASE_OGLYCAN74e,0,1000
BGALASE_OGLYCAN75e,0,1000
BGALASE_OGLYCAN76e,0,1000
BGALASE_OGLYCAN77e,0,1000
BGALASE_OGLYCAN78e,0,1000
BGALASE_OGLYCAN79e,0,1000
BGALASE_OGLYCAN7e,0,1000
BGALASE_OGLYCAN80e,0,1000
BGALASE_OGLYCAN81e,0,1000
BGALASE_OGLYCAN82e,0,1000
BGALASE_OGLYCAN83e,0,1000
BGALASE_OGLYCAN84e,0,1000
BGALASE_OGLYCAN85e,0,1000
BGALASE_OGLYCAN86e,0,1000
BGALASE_OGLYCAN87e,0,1000
BGALASE_OGLYCAN88e,0,1000
BGALASE_OGLYCAN89e,0,1000
BGALASE_OGLYCAN8e,0,1000
BGALASE_OGLYCAN90e,0,1000
BGALASE_OGLYCAN91e,0,1000
BGALASE_OGLYCAN92e,0,1000
BGALASE_OGLYCAN93e,0,1000
BGALASE_OGLYCAN94e,0,1000
BGALASE_OGLYCAN95e,0,1000
BGALASE_OGLYCAN96e,0,1000
BGALASE_OGLYCAN97e,0,1000
BGALASE_OGLYCAN98e,0,1000
BGALASE_OGLYCAN99e,0,1000
BGALASE_OGLYCAN9e,0,1000
BGLA,0,1000
BGLA1,0,1000
BGLAr_f,0,1000
BGLAr_r,0,1000
BPNT,0,1000
BTNCLi,0,1000
BTNabc,0,1000
BUTSO3abc,0,1000
BZAMAH,0,1000
CA2abc,0,1000
CBMTHL2_f,0,1000
CBMTHL2_r,0,1000
CBPS,0,1000
CD2abc1,0,1000
CD2t6r_f,0,1000
CD2t6r_r,0,1000
CDPGLYCGPT_f,0,1000
CDPGLYCGPT_r,0,1000
CDPMEK,0,1000
CELBpts,0,1000
CGLYabc,0,1000
CHLabc,0,1000
CHOLabc,0,1000
CHORM,0,1000
CHORS,0,1000
CITL,0,1000
CLPNS140_f,0,1000
CLPNS140_r,0,1000
CLPNS160_f,0,1000
CLPNS160_r,0,1000
CLPNS180_f,0,1000
CLPNS180_r,0,1000
CLPNSAI15_f,0,1000
CLPNSAI15_r,0,1000
CLPNSAI17_f,0,1000
CLPNSAI17_r,0,1000
CLPNSI14_f,0,1000
CLPNSI14_r,0,1000
CLPNSI15_f,0,1000
CLPNSI15_r,0,1000
CLPNSI16_f,0,1000
CLPNSI16_r,0,1000
CLPNSI17_f,0,1000
CLPNSI17_r,0,1000
CMLDC,0,1000
CO2t_f,0,1000
CO2t_r,0,1000
COBALTt5_f,0,1000
COBALTt5_r,0,1000
CRNabc,0,1000
CSNt2,0,1000
CTPS1,0,1000
CTPS2,0,1000
CYSDS,0,1000
CYSS,0,1000
CYSS3r_f,0,1000
CYSS3r_r,0,1000
CYSTGL,0,1000
CYSt2r_f,0,1000
CYSt2r_r,0,1000
CYTBD,0,1000
CYTBD2,0,1000
CYTDK1,0,1000
CYTDK2,0,1000
CYTDK3,0,1000
CYTDK4,0,1000
CYTK1_f,0,1000
CYTK1_r,0,1000
CYTK2_f,0,1000
CYTK2_r,0,1000
Cuabc,0,1000
Cut1,0,1000
DADNK,0,1000
DAGK120,0,1000
DAGK140,0,1000
DAGK141,0,1000
DAGK160,0,1000
DAGK161,0,1000
DAGK180,0,1000
DAGK181,0,1000
DALAt2r_f,0,1000
DALAt2r_r,0,1000
DAPDAi,0,1000
DAPDC,0,1000
DAPE_f,0,1000
DAPE_r,0,1000
DASYN120,0,1000
DASYN140,0,1000
DASYN141,0,1000
DASYN160,0,1000
DASYN161,0,1000
DASYN180,0,1000
DASYN181,0,1000
DASYNAI15,0,1000
DASYNAI17,0,1000
DASYNI14,0,1000
DASYNI15,0,1000
DASYNI16,0,1000
DASYNI17,0,1000
